,segment_id_beg,segment_id_end,longitude,latitude,h_te_best_fit,h_te_uncertainty,h_canopy,h_canopy_uncertainty,track_id,beam,file_name
71,1899834,1899838,48.80859375,-19.339887619018555,39.340782,3.0831842,23.237297,3.075613,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
72,1899839,1899843,48.80849838256836,-19.338987350463867,40.649895,0.25152403,21.36021,0.41354257,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
73,1899849,1899853,48.80830764770508,-19.337188720703125,41.340744,0.29301575,12.158596,0.47602335,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
75,1899889,1899893,48.80754852294922,-19.329988479614254,36.113605,3.0192332,12.743744,4.3503504,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
76,1899894,1899898,48.80745697021485,-19.32908821105957,23.058968,1.3973932,15.418558,2.3573613,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
77,1899899,1899903,48.8073616027832,-19.32818984985352,17.711493,0.046479214,13.734915,0.09409467,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
83,1899954,1899958,48.80632400512695,-19.31829071044922,13.1936865,0.6944841,14.363797,0.8096678,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
84,1899959,1899963,48.80623245239258,-19.31739044189453,14.426849,0.13310444,30.844877,0.35933584,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
87,1900005,1900009,48.80537414550781,-19.30911064147949,13.9146805,0.05490627,8.777576,0.1009815,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
89,1900015,1900019,48.80518341064453,-19.30731010437012,13.910817,0.066131294,16.690617,0.14511278,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
90,1900035,1900039,48.80481719970703,-19.303709030151367,15.210245,0.053352825,10.464391,0.10356641,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
91,1900050,1900054,48.804534912109375,-19.301010131835938,16.775543,0.04911655,7.845501,0.08131355,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
92,1900075,1900079,48.8040771484375,-19.2965087890625,16.856098,0.0986315,13.503506,0.23777361,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
93,1900080,1900084,48.80398178100586,-19.29560852050781,16.865664,0.14231895,6.4482727,0.25273818,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
95,1900090,1900094,48.80379867553711,-19.29380798339844,15.933578,0.07590133,5.155781,0.11601236,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
96,1900095,1900099,48.803707122802734,-19.29290771484375,17.776173,0.09238755,10.2387085,0.15467554,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
100,1900235,1900239,48.80107498168945,-19.267709732055664,128.35559,13.093224,5.8446274,6.4326897,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
101,1900245,1900249,48.800880432128906,-19.26591110229492,102.16669,0.33412105,5.430023,0.4106273,943,gt3r,processed_ATL08_20201124232633_09430914_004_01.h5
